locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b4588,ylcH,NC_000913.3,,572368,572469,+,DLP12 prophage%3B uncharacterized protein YlcH,No COG annotation,Q47268,Op16
b0547,ybcN,NC_000913.3,,572466,572921,+,DLP12 prophage%3B DNA base-flipping protein,Function unknown,Q47269,Op297
b0548,ninE,NC_000913.3,,572921,573091,+,DLP12 prophage%3B NinE family prophage protein,No COG annotation,Q47270,Op297
b0549,ybcO,NC_000913.3,,573084,573374,+,DLP12 prophage%3B putative nuclease YbcO,Function unknown,P68661,Op297
b0550,rusA,NC_000913.3,,573371,573733,+,DLP12 prophage%3B crossover junction endodeoxyribonuclease RusA,"Replication, recombination and repair",P0AG74,Op297
b4509,ylcG,NC_000913.3,,573730,573870,+,DLP12 prophage%3B uncharacterized protein YlcG,No COG annotation,Q47272,Op297
b0551,quuD,NC_000913.3,,573956,574339,+,DLP12 prophage%3B prophage antitermination protein Q homolog QuuD,Transcription,Q47274,Op298
b0553,nmpC,NC_000913.3,,574529,574586,-,DLP12 prophage%3B putative outer membrane porin NmpC,No COG annotation,,Op299
b0552,insH2,NC_000913.3,,574737,575717,-,DLP12 prophage%3B IS5 transposase and trans-activator,"Replication, recombination and repair",UPI000009AF5B,Op300
b0554,essD,NC_000913.3,,577398,577613,+,DLP12 prophage%3B putative phage lysis protein,Function unknown,P0A9R2,Op301
b0555,rrrD,NC_000913.3,,577613,578110,+,DLP12 prophage%3B lysozyme,Carbohydrate transport and metabolism,P78285,Op301
b0556,rzpD,NC_000913.3,,578107,578568,+,DLP12 prophage%3B putative prophage endopeptidase RzpD,Function unknown,P75719,Op301
b4510,rzoD,NC_000913.3,,578327,578509,+,DLP12 prophage%3B putative prophage lysis lipoprotein RzoD,Function unknown,P58041,Op302
b0557,borD,NC_000913.3,,578600,578893,-,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,P77330,Op303
b0558,ybcV,NC_000913.3,,579184,579594,-,DLP12 prophage%3B DUF1398 domain-containing protein YbcV,Amino acid transport and metabolism,P77598,Op304
b0559,ybcW,NC_000913.3,,579880,580086,+,DLP12 prophage%3B uncharacterized protein YbcW,No COG annotation,P64435,Op305
b4589,ylcI,NC_000913.3,,580251,580445,-,DLP12 prophage%3B DUF3950 domain-containing protein YlcI,Function unknown,A5A607,Op16
b0560,nohD,NC_000913.3,,580834,581379,+,DLP12 prophage%3B putative DNA-packaging protein NohD,"Replication, recombination and repair",P31062,Op306
b0561,tfaD,NC_000913.3,,581534,582097,+,DLP12 prophage%3B putative tail fiber assembly protein TfaD,Function unknown,UPI0000697585,Op307
b0563,tfaX,NC_000913.3,,582875,583060,+,DLP12 prophage%3B protein TfaX,Function unknown,UPI000013B7FE,Op308
b0564,appY,NC_000913.3,,583681,584430,+,DLP12 prophage%3B DNA-binding transcriptional activator AppY,Transcription,P05052,Op309
b0565,ompT,NC_000913.3,,584680,585633,-,DLP12 prophage%3B protease 7,Cell wall/membrane/envelope biogenesis,P09169,Op310
b0566,envY,NC_000913.3,,586147,586908,-,DNA-binding transcriptional activator EnvY,Transcription,P10805,Op310
b0567,ybcH,NC_000913.3,,587091,587981,-,DUF4434 domain-containing protein YbcH,Function unknown,P37325,Op311
b0568,nfrA,NC_000913.3,,587982,590954,-,bacteriophage N4 outer membrane receptor,Cell wall/membrane/envelope biogenesis,P31600,Op312
b0569,nfrB,NC_000913.3,,590941,593178,-,bacteriophage N4 adsorption protein,Cell wall/membrane/envelope biogenesis,P0AFA5,Op312
b0570,cusS,NC_000913.3,,593328,594770,-,sensor histidine kinase CusS,Signal transduction mechanisms,P77485,Op313
b0571,cusR,NC_000913.3,,594760,595443,-,DNA-binding transcriptional activator CusR,Transcription,P0ACZ8,Op313
b0572,cusC,NC_000913.3,,595600,596973,+,copper/silver export system outer membrane channel,Cell wall/membrane/envelope biogenesis,P77211,Op314
b0573,cusF,NC_000913.3,,597131,597463,+,copper/silver export system periplasmic binding protein,Function unknown,P77214,Op314
b0574,cusB,NC_000913.3,,597479,598702,+,copper/silver export system membrane fusion protein,Cell wall/membrane/envelope biogenesis,P77239,Op314
b0575,cusA,NC_000913.3,,598714,601857,+,copper/silver export system RND permease,Inorganic ion transport and metabolism,P38054,Op314
b0576,pheP,NC_000913.3,,601959,603335,+,phenylalanine:H(+) symporter PheP,Inorganic ion transport and metabolism,P24207,Op315
b0577,ybdG,NC_000913.3,,603416,604663,-,miniconductance mechanosensitive channel YbdG,Cell wall/membrane/envelope biogenesis,P0AAT4,Op316
b0578,nfsB,NC_000913.3,,604771,605424,-,NAD(P)H nitroreductase NfsB,Energy production and conversion,P38489,Op317
b0579,ybdF,NC_000913.3,,605518,605886,-,PF04237 family protein YbdF,Function unknown,P0AAT2,Op318
b0580,ybdJ,NC_000913.3,,605951,606199,-,DUF1158 domain-containing protein YbdJ,Function unknown,P77506,Op319
b0581,ybdK,NC_000913.3,,606265,607383,-,carboxylate-amine ligase,Nucleotide transport and metabolism,P77213,Op320
b4415,hokE,NC_000913.3,,607836,607988,+,protein HokE,Function unknown,P77091,Op321
b0582,insL2,NC_000913.3,,608065,609177,+,IS186/IS421 transposase,"Replication, recombination and repair",P0CF91,Op322
b0583,entD,NC_000913.3,,609459,610079,-,phosphopantetheinyl transferase EntD,Coenzyme transport and metabolism,P19925,Op323
b0584,fepA,NC_000913.3,,610254,612494,-,ferric enterobactin outer membrane transporter,Inorganic ion transport and metabolism,P05825,Op323
b0585,fes,NC_000913.3,,612737,613939,+,ferric enterobactin esterase,Inorganic ion transport and metabolism,P13039,Op324
b4511,ybdZ,NC_000913.3,,613942,614160,+,enterobactin biosynthesis protein YbdZ,Function unknown,P18393,Op324
b0586,entF,NC_000913.3,,614157,618038,+,apo-serine activating enzyme,"Secondary metabolites biosynthesis, transport, and catabolism",P11454,Op324
b0587,fepE,NC_000913.3,,618254,619387,+,polysaccharide co-polymerase family protein FepE,Cell wall/membrane/envelope biogenesis,P26266,Op324
b0588,fepC,NC_000913.3,,619384,620199,-,ferric enterobactin ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P23878,Op325
b0589,fepG,NC_000913.3,,620196,621188,-,ferric enterobactin ABC transporter membrane subunit FepG,Inorganic ion transport and metabolism,P23877,Op325
b0590,fepD,NC_000913.3,,621185,622189,-,ferric enterobactin ABC transporter membrane subunit FebD,Inorganic ion transport and metabolism,P23876,Op325
b0591,entS,NC_000913.3,,622300,623550,+,enterobactin exporter EntS,Amino acid transport and metabolism,P24077,Op326
b0592,fepB,NC_000913.3,,623554,624510,-,ferric enterobactin ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P0AEL6,Op327
b0593,entC,NC_000913.3,,624885,626060,+,isochorismate synthase EntC,Coenzyme transport and metabolism,P0AEJ2,Op328
b0594,entE,NC_000913.3,,626070,627680,+,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",P10378,Op328
b0595,entB,NC_000913.3,,627694,628551,+,enterobactin synthase component B,"Secondary metabolites biosynthesis, transport, and catabolism",P0ADI4,Op328
b0596,entA,NC_000913.3,,628551,629297,+,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase,Lipid transport and metabolism,P15047,Op328
b0597,entH,NC_000913.3,,629300,629713,+,proofreading thioesterase in enterobactin biosynthesis,"Secondary metabolites biosynthesis, transport, and catabolism",P0A8Y8,Op328
b0598,cstA,NC_000913.3,,629894,631999,+,carbon starvation protein A,Signal transduction mechanisms,P15078,Op329
b4512,ybdD,NC_000913.3,,632182,632379,+,PF04328 family protein YbdD,Function unknown,P0AAS9,Op330
b0599,hcxA,NC_000913.3,,632389,633477,-,hydroxycarboxylate dehydrogenase A,Energy production and conversion,P45579,Op331
b0600,ybdL,NC_000913.3,,633586,634746,+,methionine transaminase,Amino acid transport and metabolism,P77806,Op332
b0601,ybdM,NC_000913.3,,634747,635376,-,ParB-like nuclease domain-containing protein YbdM,Transcription,P77174,Op333
b0602,ybdN,NC_000913.3,,635349,636569,-,putative PAPS reductase/DUF3440 domain-containing protein YbdN,Function unknown,P77216,Op334
b0603,ybdO,NC_000913.3,,636716,637618,-,putative LysR family DNA-binding transcriptional regulator YbdO,Transcription,P77746,Op335
b0604,dsbG,NC_000913.3,,637827,638573,-,protein sulfenic acid reductase and chaperone DsbG,"Post-translational modification, protein turnover, and chaperones",P77202,Op336
b0605,ahpC,NC_000913.3,,638945,639508,+,alkyl hydroperoxide reductase%2C AhpC component,"Post-translational modification, protein turnover, and chaperones",P0AE08,Op337
b0606,ahpF,NC_000913.3,,639753,641318,+,alkyl hydroperoxide reductase%2C AhpF component,"Post-translational modification, protein turnover, and chaperones",P35340,Op337
b0607,uspG,NC_000913.3,,641439,641867,-,universal stress protein G,Signal transduction mechanisms,P39177,Op338
b0608,ybdR,NC_000913.3,,642088,643326,+,putative Zn(2(+))-dependent alcohol dehydrogenase YbdR,Amino acid transport and metabolism,P77316,Op339
b4734,yldA,NC_000913.3,,643330,643419,-,protein YldA,No COG annotation,UPI00016C8686,Op16
b0610,rnk,NC_000913.3,,643557,643967,-,nucleoside diphosphate kinase regulator,Transcription,P0AFW4,Op340
b0611,rna,NC_000913.3,,644197,645003,-,RNase I,"Translation, ribosomal structure and biogenesis",P21338,Op341
b0612,citT,NC_000913.3,,645117,646580,-,citrate:succinate antiporter,Inorganic ion transport and metabolism,P0AE74,Op342
b0613,citG,NC_000913.3,,646631,647509,-,triphosphoribosyl-dephospho-CoA synthase,Nucleotide transport and metabolism,P77231,Op343
b0614,citX,NC_000913.3,,647484,648035,-,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,P0A6G5,Op343
b0615,citF,NC_000913.3,,648039,649571,-,citrate lyase alpha subunit,Energy production and conversion,P75726,Op343
b0616,citE,NC_000913.3,,649582,650490,-,citrate lyase beta subunit,Carbohydrate transport and metabolism,P0A9I1,Op343
b0617,citD,NC_000913.3,,650487,650783,-,citrate lyase acyl carrier protein,Energy production and conversion,P69330,Op343
b0618,citC,NC_000913.3,,650798,651856,-,citrate lyase synthetase,Coenzyme transport and metabolism,P77390,Op343
b0619,dpiB,NC_000913.3,,652235,653893,+,sensor histidine kinase DpiB,Signal transduction mechanisms,P77510,Op344
b0620,dpiA,NC_000913.3,,653862,654542,+,DNA-binding transcriptional dual regulator DpiA,Transcription,P0AEF4,Op344
b0621,dcuC,NC_000913.3,,654583,655968,-,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,P0ABP3,Op345
b0622,pagP,NC_000913.3,,656557,657117,+,Lipid A palmitoyltransferase,Cell wall/membrane/envelope biogenesis,P37001,Op346
b0623,cspE,NC_000913.3,,657292,657501,+,transcription antiterminator and regulator of RNA stability,Transcription,P0A972,Op347
b0624,crcB,NC_000913.3,,657555,657938,-,F(-) channel,"Cell cycle control, cell division, chromosome partitioning",P37002,Op348
b0627,tatE,NC_000913.3,,658947,659150,+,twin arginine protein translocation system - TatE protein,"Intracellular trafficking, secretion, and vesicular transport",P0A843,Op349
b0628,lipA,NC_000913.3,,659251,660216,-,lipoyl synthase,Coenzyme transport and metabolism,P60716,Op350
b0629,ybeF,NC_000913.3,,660425,661378,-,putative LysR-type DNA-binding transcriptional regulator YbeF,Transcription,P30979,Op351
b0630,lipB,NC_000913.3,,661637,662278,-,lipoyl(octanoyl) transferase,Coenzyme transport and metabolism,P60720,Op352
b0631,ybeD,NC_000913.3,,662379,662642,-,DUF493 domain-containing protein YbeD,Function unknown,P0A8J4,Op352
b0632,dacA,NC_000913.3,,662752,663963,-,D-alanyl-D-alanine carboxypeptidase DacA,Cell wall/membrane/envelope biogenesis,P0AEB2,Op353
b0633,rlpA,NC_000913.3,,664102,665190,-,rare lipoprotein RlpA,Cell wall/membrane/envelope biogenesis,P10100,Op354
b0634,mrdB,NC_000913.3,,665201,666313,-,SEDS family protein MrdB,Cell wall/membrane/envelope biogenesis,P0ABG7,Op354
b0635,mrdA,NC_000913.3,,666316,668217,-,peptidoglycan DD-transpeptidase MrdA,Cell wall/membrane/envelope biogenesis,P0AD65,Op354
b0636,rlmH,NC_000913.3,,668248,668715,-,23S rRNA m(3)psi1915 methyltransferase,"Translation, ribosomal structure and biogenesis",P0A8I8,Op354
b0637,rsfS,NC_000913.3,,668719,669036,-,ribosomal silencing factor RsfS,"Translation, ribosomal structure and biogenesis",P0AAT6,Op354
b0638,cobC,NC_000913.3,,669296,669907,-,putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase,Carbohydrate transport and metabolism,P52086,Op355
b0639,nadD,NC_000913.3,,669931,670572,-,nicotinate-mononucleotide adenylyltransferase,Coenzyme transport and metabolism,P0A752,Op355
b0640,holA,NC_000913.3,,670574,671605,-,DNA polymerase III subunit delta,"Replication, recombination and repair",P28630,Op355
b0641,lptE,NC_000913.3,,671605,672186,-,lipopolysaccharide assembly protein LptE,Cell wall/membrane/envelope biogenesis,P0ADC1,Op355
b0642,leuS,NC_000913.3,,672201,674783,-,leucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P07813,Op355
b0643,ybeL,NC_000913.3,,675018,675500,+,DUF1451 domain-containing protein YbeL,"Translation, ribosomal structure and biogenesis",P0AAT9,Op356
b0644,ybeQ,NC_000913.3,,675570,676547,-,Sel1 repeat-containing protein YbeQ,"Post-translational modification, protein turnover, and chaperones",P77234,Op357
b0645,ybeR,NC_000913.3,,676711,677418,+,DUF1266 domain-containing protein YbeR,Function unknown,P77627,Op358
b0646,djlB,NC_000913.3,,677415,678842,+,J domain-containing protein DjlB,"Post-translational modification, protein turnover, and chaperones",P77381,Op358
b0647,ybeT,NC_000913.3,,678852,679406,-,Sel1 repeat-containing protein YbeT,Function unknown,P77296,Op359
b0648,ybeU,NC_000913.3,,679508,680215,+,DUF1266 domain-containing protein YbeU,Function unknown,P77427,Op360
b0649,djlC,NC_000913.3,,680212,681663,+,co-chaperone DjlC,"Post-translational modification, protein turnover, and chaperones",P77359,Op360
b0650,hscC,NC_000913.3,,681723,683393,-,chaperone protein HscC,"Post-translational modification, protein turnover, and chaperones",P77319,Op361
b0651,rihA,NC_000913.3,,683477,684412,-,pyrimidine-specific ribonucleoside hydrolase RihA,Nucleotide transport and metabolism,P41409,Op362
b0652,gltL,NC_000913.3,,684530,685255,-,glutamate/aspartate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAG3,Op363
b0653,gltK,NC_000913.3,,685255,685929,-,glutamate/aspartate ABC transporter membrane subunit GltK,Amino acid transport and metabolism,P0AER5,Op363
b0654,gltJ,NC_000913.3,,685929,686669,-,glutamate/aspartate ABC transporter membrane subunit GltJ,Inorganic ion transport and metabolism,P0AER3,Op363
b0655,gltI,NC_000913.3,,686839,687747,-,glutamate/aspartate ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P37902,Op363
b0656,insH3,NC_000913.3,,687997,688977,-,IS5 transposase and trans-activator,"Replication, recombination and repair",UPI000009AF5B,Op364
b0657,lnt,NC_000913.3,,689343,690881,-,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,P23930,Op365
b0658,ybeX,NC_000913.3,,690906,691784,-,CorC-HlyC family protein YbeX,Inorganic ion transport and metabolism,P0AE78,Op365
b0659,ybeY,NC_000913.3,,691874,692341,-,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",P0A898,Op365
b0660,ybeZ,NC_000913.3,,692338,693378,-,PhoH-like protein,Signal transduction mechanisms,P0A9K3,Op365
b0661,miaB,NC_000913.3,,693531,694955,-,isopentenyl-adenosine A37 tRNA methylthiolase,"Translation, ribosomal structure and biogenesis",P0AEI1,Op366
b0662,ubiF,NC_000913.3,,695101,696276,+,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase,Energy production and conversion,P75728,Op367
b0674,asnB,NC_000913.3,,697513,699177,-,asparagine synthetase B,Amino acid transport and metabolism,P22106,Op368
b0675,umpH,NC_000913.3,,699574,700326,-,UMP phosphatase,Carbohydrate transport and metabolism,P0AF24,Op369
b0676,nagC,NC_000913.3,,700374,701594,-,DNA-binding transcriptional dual regulator NagC,Transcription,P0AF20,Op369
b0677,nagA,NC_000913.3,,701603,702751,-,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,P0AF18,Op369
b0678,nagB,NC_000913.3,,702811,703611,-,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,P0A759,Op369
b0679,nagE,NC_000913.3,,703944,705890,+,N-acetylglucosamine-specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,P09323,Op370
b0680,glnS,NC_000913.3,,706093,707757,+,glutamine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00962,Op371
b0681,chiP,NC_000913.3,,708334,709740,+,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,P75733,Op372
b0682,chiQ,NC_000913.3,,709790,710116,+,lipoprotein ChiQ,Cell wall/membrane/envelope biogenesis,P75734,Op372
b0683,fur,NC_000913.3,,710200,710646,-,DNA-binding transcriptional dual regulator Fur,Transcription,P0A9A9,Op373
b4637,uof,NC_000913.3,,710639,710725,-,RyhB-regulated fur leader peptide,No COG annotation,A8DYP9,Op373
b0684,fldA,NC_000913.3,,710935,711465,-,flavodoxin 1,Energy production and conversion,P61949,Op373
b0685,ybfE,NC_000913.3,,711605,711898,-,ribbon-helix-helix domain-containing protein YbfE,Function unknown,P0AAU7,Op374
b0686,ybfF,NC_000913.3,,712038,712802,-,esterase,Function unknown,P75736,Op375
b0687,seqA,NC_000913.3,,712987,713532,+,negative modulator of initiation of replication,"Replication, recombination and repair",P0AFY8,Op376
b0688,pgm,NC_000913.3,,713558,715198,+,phosphoglucomutase,Carbohydrate transport and metabolism,P36938,Op376
b0689,ybfP,NC_000913.3,,715412,715906,+,lipoprotein YbfP,No COG annotation,P75737,Op377
b0692,potE,NC_000913.3,,716946,718265,-,putrescine transporter PotE,Amino acid transport and metabolism,P0AAF1,Op378
b0693,speF,NC_000913.3,,718262,720460,-,inducible ornithine decarboxylase,Amino acid transport and metabolism,P24169,Op378
b4803,speFL,NC_000913.3,,720718,720822,-,leader peptide SpeFL,No COG annotation,UPI0013019C4D,Op378
b0694,kdpE,NC_000913.3,,721056,721733,-,DNA-binding transcriptional activator KdpE,Transcription,P21866,Op379
b0695,kdpD,NC_000913.3,,721730,724414,-,sensor histidine kinase KdpD,Signal transduction mechanisms,P21865,Op379
b0696,kdpC,NC_000913.3,,724407,724979,-,K(+) transporting P-type ATPase subunit KdpC,Inorganic ion transport and metabolism,P03961,Op380
b0697,kdpB,NC_000913.3,,724988,727036,-,K(+) transporting P-type ATPase subunit KdpB,Inorganic ion transport and metabolism,P03960,Op380
b0698,kdpA,NC_000913.3,,727059,728732,-,K(+) transporting P-type ATPase subunit KdpA,Inorganic ion transport and metabolism,P03959,Op380
b4513,kdpF,NC_000913.3,,728732,728821,-,K(+) transporting P-type ATPase subunit KdpF,No COG annotation,P36937,Op380
b0699,ybfA,NC_000913.3,,729134,729340,+,DUF2517 domain-containing protein YbfA,Function unknown,P0AAU2,Op381
b0700,rhsC,NC_000913.3,,729583,733776,+,rhs element protein RhsC,Cell wall/membrane/envelope biogenesis,P16918,Op382
b0702,ybfB,NC_000913.3,,733776,734102,+,uncharacterized protein YbfB,No COG annotation,P0AAU5,Op382
b0704,ybfC,NC_000913.3,,735650,736219,+,uncharacterized protein YbfC,No COG annotation,P28915,Op383
b4514,ybfQ,NC_000913.3,,736445,736699,+,inactive transposase YbfQ,"Replication, recombination and repair",UPI00000B1283,Op384
b0706,ybfD,NC_000913.3,,738092,738853,+,H repeat-associated putative transposase YbfD,"Replication, recombination and repair",P28916,Op385
b0707,ybgA,NC_000913.3,,739001,739510,+,DUF1722 domain-containing protein YbgA,Function unknown,P24252,Op386
b0708,phr,NC_000913.3,,739507,740925,+,deoxyribodipyrimidine photolyase,"Replication, recombination and repair",P00914,Op386
b0709,dtpD,NC_000913.3,,741075,742556,-,dipeptide:H(+) symporter DtpD,"Intracellular trafficking, secretion, and vesicular transport",P75742,Op387
b0710,ybgI,NC_000913.3,,742827,743570,+,radiation resistance protein YbgI,Function unknown,P0AFP6,Op388
b0711,pxpB,NC_000913.3,,743593,744249,+,5-oxoprolinase component B,Amino acid transport and metabolism,P0AAV4,Op388
b0712,pxpC,NC_000913.3,,744243,745175,+,5-oxoprolinase component C,Amino acid transport and metabolism,P75745,Op388
b0713,pxpA,NC_000913.3,,745165,745899,+,5-oxoprolinase component A,Function unknown,P75746,Op388
b0714,nei,NC_000913.3,,745935,746726,+,endonuclease VIII,"Replication, recombination and repair",P50465,Op388
b0715,abrB,NC_000913.3,,746723,747769,-,putative regulator,Function unknown,P75747,Op389
b0716,ybgO,NC_000913.3,,747921,748982,-,putative fimbrial protein YbgO,Cell motility,P75748,Op390
b0717,ybgP,NC_000913.3,,748979,749707,-,putative fimbrial chaperone YbgP,Cell wall/membrane/envelope biogenesis,P75749,Op390
b0718,ybgQ,NC_000913.3,,749722,752169,-,putative fimbrial usher protein YbgQ,Cell motility,P75750,Op390
b0719,ybgD,NC_000913.3,,752229,752795,-,putative fimbrial protein YbgD,Cell motility,P37909,Op391
b0720,gltA,NC_000913.3,,753185,754468,-,citrate synthase,Energy production and conversion,P0ABH7,Op392
b4768,ybgV,NC_000913.3,,754658,754690,-,protein YbgV,No COG annotation,UPI00107E6400,Op16
b4735,ybgU,NC_000913.3,,754674,754781,-,protein YbgU,No COG annotation,UPI0001A5C00D,Op16
b0721,sdhC,NC_000913.3,,755177,755566,+,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,P69054,Op393
b0722,sdhD,NC_000913.3,,755560,755907,+,succinate:quinone oxidoreductase%2C membrane protein SdhD,Energy production and conversion,P0AC44,Op393
b0723,sdhA,NC_000913.3,,755907,757673,+,succinate:quinone oxidoreductase%2C FAD binding protein,Energy production and conversion,P0AC41,Op393
b0724,sdhB,NC_000913.3,,757689,758405,+,succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein,Energy production and conversion,P07014,Op393
b0726,sucA,NC_000913.3,,758706,761507,+,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,Nucleotide transport and metabolism,P0AFG3,Op393
b0727,sucB,NC_000913.3,,761522,762739,+,dihydrolipoyltranssuccinylase,Energy production and conversion,P0AFG6,Op393
b0728,sucC,NC_000913.3,,763014,764180,+,succinyl-CoA synthetase subunit beta,Nucleotide transport and metabolism,P0A836,Op393
b0729,sucD,NC_000913.3,,764180,765049,+,succinyl-CoA synthetase subunit alpha,Energy production and conversion,P0AGE9,Op393
b0730,mngR,NC_000913.3,,765153,765875,-,DNA-binding transcriptional repressor MngR,Transcription,P13669,Op394
b0731,mngA,NC_000913.3,,765984,767960,+,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II,Carbohydrate transport and metabolism,P54745,Op395
b0732,mngB,NC_000913.3,,767978,770611,+,alpha-mannosidase,Carbohydrate transport and metabolism,P54746,Op395
b0733,cydA,NC_000913.3,,771458,773026,+,cytochrome bd-I ubiquinol oxidase subunit I,Energy production and conversion,P0ABJ9,Op396
b0734,cydB,NC_000913.3,,773042,774181,+,cytochrome bd-I ubiquinol oxidase subunit II,Energy production and conversion,P0ABK2,Op396
b4515,cydX,NC_000913.3,,774196,774309,+,cytochrome bd-I ubiquinol oxidase accessory subunit CydX,Function unknown,P56100,Op397
b0735,ybgE,NC_000913.3,,774309,774602,+,PF09600 family protein YbgE,Function unknown,P0AAV0,Op397
b0736,ybgC,NC_000913.3,,774752,775156,+,esterase/thioesterase,Function unknown,P0A8Z3,Op398
b0737,tolQ,NC_000913.3,,775153,775845,+,Tol-Pal system protein TolQ,"Intracellular trafficking, secretion, and vesicular transport",P0ABU9,Op398
b0738,tolR,NC_000913.3,,775849,776277,+,Tol-Pal system protein TolR,"Intracellular trafficking, secretion, and vesicular transport",P0ABV6,Op398
b0739,tolA,NC_000913.3,,776342,777607,+,Tol-Pal system protein TolA,"Intracellular trafficking, secretion, and vesicular transport",P19934,Op398
b0740,tolB,NC_000913.3,,777740,779032,+,Tol-Pal system periplasmic protein TolB,"Intracellular trafficking, secretion, and vesicular transport",P0A855,Op399
b0741,pal,NC_000913.3,,779067,779588,+,peptidoglycan-associated outer membrane lipoprotein Pal,Cell wall/membrane/envelope biogenesis,P0A912,Op399
b0742,cpoB,NC_000913.3,,779598,780389,+,cell division coordinator CpoB,"Cell cycle control, cell division, chromosome partitioning",P45955,Op399
b0750,nadA,NC_000913.3,,782085,783128,+,quinolinate synthase,Nucleotide transport and metabolism,P11458,Op400
b0751,pnuC,NC_000913.3,,783166,783885,+,nicotinamide riboside transporter,Coenzyme transport and metabolism,P0AFK2,Op400
b0752,zitB,NC_000913.3,,783882,784823,-,Zn(2(+))/Cd(2(+))/Ni(2(+))/Cu(2(+)) exporter,Inorganic ion transport and metabolism,P75757,Op401
b0753,ybgS,NC_000913.3,,784937,785317,-,PF13985 family protein YbgS,Function unknown,P0AAV6,Op402
b0754,aroG,NC_000913.3,,785633,786685,+,3-deoxy-7-phosphoheptulonate synthase%2C Phe-sensitive,Amino acid transport and metabolism,P0AB91,Op403
b0755,gpmA,NC_000913.3,,786843,787595,-,2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase,Nucleotide transport and metabolism,P62707,Op404
b0756,galM,NC_000913.3,,787797,788837,-,galactose-1-epimerase,Carbohydrate transport and metabolism,P0A9C3,Op405
b0757,galK,NC_000913.3,,788831,789979,-,galactokinase,Nucleotide transport and metabolism,P0A6T3,Op405
b0758,galT,NC_000913.3,,789983,791029,-,galactose-1-phosphate uridylyltransferase,Energy production and conversion,P09148,Op405
b0759,galE,NC_000913.3,,791039,792055,-,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,P09147,Op405
b0760,modF,NC_000913.3,,792316,793788,-,ABC family protein ModF,Inorganic ion transport and metabolism,P31060,Op406
b0761,modE,NC_000913.3,,793856,794644,-,DNA-binding transcriptional dual regulator ModE,Transcription,P0A9G8,Op406
b0762,acrZ,NC_000913.3,,794773,794922,+,multidrug efflux pump accessory protein AcrZ,"Intracellular trafficking, secretion, and vesicular transport",P0AAW9,Op407
b0763,modA,NC_000913.3,,795089,795862,+,molybdate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37329,Op408
b0764,modB,NC_000913.3,,795862,796551,+,molybdate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AF01,Op408
b0765,modC,NC_000913.3,,796554,797612,+,molybdate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P09833,Op408
b0766,ybhA,NC_000913.3,,797613,798431,-,pyridoxal phosphate/fructose-1%2C6-bisphosphate phosphatase,Function unknown,P21829,Op409
b0767,pgl,NC_000913.3,,798586,799581,+,6-phosphogluconolactonase,Nucleotide transport and metabolism,P52697,Op410
b0768,ybhD,NC_000913.3,,799622,800575,-,putative DNA-binding transcriptional regulator YbhD,Transcription,P52696,Op411
b0769,ybhH,NC_000913.3,,800759,801811,+,putative isomerase YbhH,Function unknown,P0AAV8,Op412
b0770,ybhI,NC_000913.3,,801887,803320,+,putative tricarboxylate transporter,Inorganic ion transport and metabolism,P75763,Op413
b0771,ybhJ,NC_000913.3,,803503,805764,+,putative hydratase YbhJ,Energy production and conversion,P75764,Op414
b0772,ybhC,NC_000913.3,,805998,807281,-,outer membrane lipoprotein YhbC,Cell wall/membrane/envelope biogenesis,P46130,Op415
b0773,ybhB,NC_000913.3,,807433,807909,-,putative kinase inhibitor,Function unknown,P12994,Op416
